,Song Name,Matched Name,Ratio Value,Song List Index
0,wooly bully,only lonely,64,3209
1,i cant help myself sugar pie honey bunch,i cant help myself sugar pie honey bunch,100,3863
2,i cant get no satisfaction,i cant get no satisfaction,100,251
3,you were on my mind,youre on my mind,91,11156
4,youve lost that lovin feelin,youve got the love,70,1959
5,downtown,london town,74,13871
6,help,help,100,14944
7,cant you hear my heart beat,you are my heart,70,6881
8,crying in the chapel,crying in the club,84,4681
9,my girl,my girl,100,2045
10,help me rhonda,noche de ronda,71,1348
11,king of the road,on the road,74,1831
12,the birds and the bees,the hand that feeds,68,12914
13,hold me thrill me kiss me,then he kissed me,62,6903
14,shotgun,shotgun,100,1161
15,i got you babe,i want you back,69,1175
16,this diamond ring,this mountain,67,4779
17,the in crowd,the high road,72,16698
18,mrs brown youve got a lovely daughter,where do you go to my lovely,58,2112
19,stop in the name of love,stop in the name of love,100,6867
20,unchained melody,unchained melody,100,2063
21,silhouettes,silhouettes,100,5847
22,ill never find another you,ill be there for you,65,17270
23,cara mia,caravan,67,492
24,mr tambourine man,mr tambourine man,100,324
25,cast your fate to the wind,set fire to the rain,65,1372
26,yes im ready,es mi reina,70,3920
27,whats new pussycat,whats the use,65,11574
28,eve of destruction,self destruction,82,4097
29,hang on sloopy,hang loose,67,3442
30,ticket to ride,side to side,69,4692
31,red roses for a blue lady,regresa a mi lado,57,12148
32,papas got a brand new bag,papas got a brand new bag,100,3816
33,game of love,game to lose,83,3237
34,the name game,the a team,70,1554
35,i know a place,i know a place,100,13147
36,back in my arms again,back again,65,1169
37,baby im yours,baby im yours,100,14692
38,the jolly green giant,the only exception,62,18559
39,hush hush sweet charlotte,swing low sweet chariot,62,13363
40,like a rolling stone,like a rolling stone,100,270
41,im telling you now,more than you know,67,11375
42,ferry cross the mersey,eyes of the muse,63,9450
43,just once in my life,for once in my life,82,2086
44,the seventh son,the sweet escape,65,8620
45,im henery the eighth i am,when the night is over,64,16212
46,a walk in the black forest,a day in the life  remastered,62,2104
47,for your love,for your love,100,327
48,california girls,california gurls,94,17865
49,go now,for now,77,1487
50,goldfinger,gold digger,76,1884
51,down in the boondocks,blowin in the wind,67,329
52,baby the rain must fall,dry the rain remaster,64,2972
53,catch us if you can,because of you,61,189
54,eight days a week,brighter days,60,7180
55,just a little,just a little crush,81,8928
56,you turn me on,turn me on,83,6971
57,ill be doggone,ill be around,67,3558
58,save your heart for me,you were meant for me,70,932
59,tired of waiting for you,waiting for you,77,3099
60,count me in,cant move on,70,1200
61,all day and all of the night,all day and all of the night,100,2679
62,what the world needs now is love,what the world needs now is love,100,2121
63,its not unusual,its not unusual,100,8221
64,shes about a mover,shes a lover,73,2747
65,shake,shake,100,8256
66,wonderful world,what a wonderful world,81,2083
67,nowhere to run,born to run,72,443
68,heart full of soul,heart full of soul,100,295
69,love potion no 9,love potion no 9,100,2000
70,laurie strange things happen,love is stronger than pride,58,16018
71,baby dont go,baby don’t stop,81,6700
72,it aint me babe,it aint my fault,71,7731
73,tell her no,be here now,73,13191
74,i go to pieces,two princes,64,991
75,red roses for a blue lady,regresa a mi lado,57,12148
76,dont just stand there,dont just stand there,100,7105
77,the tracks of my tears,the ballad of mr steak,64,9489
78,too many rivers,too many colors,73,12282
79,i like it like that,i like it like that,100,3924
80,little things,little lies,75,11015
81,true love ways,true love,78,6930
82,its the same old song,wait the whisper song,67,7755
83,youve got your troubles,youve got a friend,63,358
84,hold what youve got,what you do,67,6165
85,we gotta get out of this place,watch out for this bumaye,62,12204
86,laugh laugh,la lucha,63,10506
87,the last time,one last time,85,6995
88,do you believe in magic,do you believe in magic,100,296
89,all i really want to do,do you really want it,68,1624
90,take me back,take me away,75,7209
91,i want candy,i want candy,100,833
92,ooo baby baby,baby boy,67,170
93,laugh at me,laugh it off,70,7835
94,treat her right,yeah right,72,3136
95,the race is on,the race is on,100,5142
96,im a fool,in a mood,67,3573
97,the boy from new york city,the boys are back in town,59,451
98,keep searchin well follow the sun,sail into the sun,56,6418
99,how sweet it is to be loved by you,how sweet it is to be loved by you,100,6878
100,ballad of the green berets,ballad of a teenage queen,67,5075
101,cherish,crash,67,2864
102,youre my soul and inspiration,you are my sunshine,62,4983
103,reach out ill be there,reach out ill be there,100,8253
104,96 tears,96 tears,100,341
105,last train to clarksville,lost it all,56,5771
106,monday monday,mony mony,82,6394
107,you cant hurry love,you cant hurry love,100,2066
