Song_Name,Matched_Name,Ratio_Value,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,Rank,Year,Billboard Song Name
wooly bully,only lonely,64,Only Lonely,0.898,0.41200000000000003,0.276,0.00037200000000000004,7,0.0955,-11.710999999999999,1,0.0296,90.781,4,0.214,1,1965,wooly bully
youre only lonely,only lonely,79,Only Lonely,0.898,0.41200000000000003,0.276,0.00037200000000000004,7,0.0955,-11.710999999999999,1,0.0296,90.781,4,0.214,2,1965,i cant help myself sugar pie honey bunch
only the lonely,only lonely,85,Only Lonely,0.898,0.41200000000000003,0.276,0.00037200000000000004,7,0.0955,-11.710999999999999,1,0.0296,90.781,4,0.214,3,1965,i cant get no satisfaction
i cant help myself sugar pie honey bunch,i cant help myself sugar pie honey bunch,100,"I Can't Help Myself (Sugar Pie, Honey Bunch)",0.245,0.667,0.599,0.0,0,0.107,-8.894,1,0.0291,127.935,4,0.971,4,1965,you were on my mind
i cant get no satisfaction,i cant get no satisfaction,100,(I Can't Get No) Satisfaction,0.00037999999999999997,0.735,0.82,0.0572,2,0.0983,-8.554,1,0.0494,135.586,4,0.8590000000000001,5,1965,youve lost that lovin feelin
i cant go for that no can do,i cant get no satisfaction,59,(I Can't Get No) Satisfaction,0.00037999999999999997,0.735,0.82,0.0572,2,0.0983,-8.554,1,0.0494,135.586,4,0.8590000000000001,6,1965,downtown
you were on my mind,youre on my mind,91,You're on My Mind,0.8140000000000001,0.6509999999999999,0.128,0.9079999999999999,2,0.0596,-14.998,1,0.0511,160.001,4,0.23800000000000002,7,1965,help
if ever youre in my arms again,youre on my mind,61,You're on My Mind,0.8140000000000001,0.6509999999999999,0.128,0.9079999999999999,2,0.0596,-14.998,1,0.0511,160.001,4,0.23800000000000002,8,1965,cant you hear my heart beat
youre gonna miss this,youre on my mind,65,You're on My Mind,0.8140000000000001,0.6509999999999999,0.128,0.9079999999999999,2,0.0596,-14.998,1,0.0511,160.001,4,0.23800000000000002,9,1965,crying in the chapel
youve lost that lovin feelin,youve got the love,70,You've Got The Love,0.004070000000000001,0.5710000000000001,0.708,0.0,6,0.125,-4.74,1,0.0329,109.899,4,0.39799999999999996,10,1965,my girl
you got the love,youve got the love,94,You've Got The Love,0.004070000000000001,0.5710000000000001,0.708,0.0,6,0.125,-4.74,1,0.0329,109.899,4,0.39799999999999996,11,1965,help me rhonda
youve lost that lovin feelin,youve got the love,70,You've Got The Love,0.004070000000000001,0.5710000000000001,0.708,0.0,6,0.125,-4.74,1,0.0329,109.899,4,0.39799999999999996,12,1965,king of the road
you give good love,youve got the love,72,You've Got The Love,0.004070000000000001,0.5710000000000001,0.708,0.0,6,0.125,-4.74,1,0.0329,109.899,4,0.39799999999999996,13,1965,the birds and the bees
u got the look,youve got the love,75,You've Got The Love,0.004070000000000001,0.5710000000000001,0.708,0.0,6,0.125,-4.74,1,0.0329,109.899,4,0.39799999999999996,14,1965,hold me thrill me kiss me
downtown,london town,74,London Town,0.006690000000000001,0.892,0.483,3.37e-05,1,0.113,-5.801,1,0.115,106.029,4,0.281,15,1965,shotgun
new kid in town,london town,62,London Town,0.006690000000000001,0.892,0.483,3.37e-05,1,0.113,-5.801,1,0.115,106.029,4,0.281,16,1965,i got you babe
downtown,london town,74,London Town,0.006690000000000001,0.892,0.483,3.37e-05,1,0.113,-5.801,1,0.115,106.029,4,0.281,17,1965,this diamond ring
downtown,london town,74,London Town,0.006690000000000001,0.892,0.483,3.37e-05,1,0.113,-5.801,1,0.115,106.029,4,0.281,18,1965,the in crowd
help,help,100,Help,0.00085,0.38299999999999995,0.9,1.94e-06,7,0.271,-5.42,1,0.134,183.96,4,0.28600000000000003,19,1965,mrs brown youve got a lovely daughter
cant you hear my heart beat,you are my heart,70,You Are My Heart,0.48100000000000004,0.664,0.6809999999999999,0.0232,7,0.225,-7.4579999999999975,1,0.0366,97.501,4,0.604,20,1965,stop in the name of love
achy breaky heart,you are my heart,67,You Are My Heart,0.48100000000000004,0.664,0.6809999999999999,0.0232,7,0.225,-7.4579999999999975,1,0.0366,97.501,4,0.604,21,1965,unchained melody
just take my heart,you are my heart,76,You Are My Heart,0.48100000000000004,0.664,0.6809999999999999,0.0232,7,0.225,-7.4579999999999975,1,0.0366,97.501,4,0.604,22,1965,silhouettes
unbreak my heart,you are my heart,75,You Are My Heart,0.48100000000000004,0.664,0.6809999999999999,0.0232,7,0.225,-7.4579999999999975,1,0.0366,97.501,4,0.604,23,1965,ill never find another you
unbreak my heart,you are my heart,75,You Are My Heart,0.48100000000000004,0.664,0.6809999999999999,0.0232,7,0.225,-7.4579999999999975,1,0.0366,97.501,4,0.604,24,1965,cara mia
crying in the chapel,crying in the club,84,Crying in the Club,0.33399999999999996,0.33399999999999996,0.617,0.0,6,0.163,-5.834,0,0.38299999999999995,85.227,4,0.603,25,1965,mr tambourine man
my girl,my girl,100,My Girl,0.545,0.6,0.546,0.0,0,0.5589999999999999,-5.7139999999999995,1,0.0691,104.45100000000001,4,0.598,26,1965,cast your fate to the wind
my girl bill,my girl,74,My Girl,0.545,0.6,0.546,0.0,0,0.5589999999999999,-5.7139999999999995,1,0.0691,104.45100000000001,4,0.598,27,1965,yes im ready
same girl,my girl,75,My Girl,0.545,0.6,0.546,0.0,0,0.5589999999999999,-5.7139999999999995,1,0.0691,104.45100000000001,4,0.598,28,1965,whats new pussycat
help me rhonda,noche de ronda,71,Noche de Ronda,0.9059999999999999,0.42,0.19,5.02e-06,9,0.17800000000000002,-15.056,1,0.045,131.547,3,0.293,29,1965,eve of destruction
king of the road,on the road,74,On the Road,0.02,0.465,0.7490000000000001,0.000379,10,0.105,-6.653,0,0.358,72.579,4,0.39,30,1965,hang on sloopy
on the radio,on the road,87,On the Road,0.02,0.465,0.7490000000000001,0.000379,10,0.105,-6.653,0,0.358,72.579,4,0.39,31,1965,ticket to ride
end of the road,on the road,77,On the Road,0.02,0.465,0.7490000000000001,0.000379,10,0.105,-6.653,0,0.358,72.579,4,0.39,32,1965,red roses for a blue lady
the birds and the bees,the hand that feeds,68,The Hand That Feeds,0.0187,0.595,0.985,0.000297,9,0.0666,-4.337,0,0.0885,128.006,4,0.462,33,1965,papas got a brand new bag
