Song_Name,Matched_Name,Ratio_Value,Song_List_Index
wooly bully,only lonely,64,3209
i cant help myself sugar pie honey bunch,i cant help myself sugar pie honey bunch,100,3863
i cant get no satisfaction,i cant get no satisfaction,100,251
you were on my mind,youre on my mind,91,11156
youve lost that lovin feelin,youve got the love,70,1959
downtown,london town,74,13871
help,help,100,14944
cant you hear my heart beat,you are my heart,70,6881
crying in the chapel,crying in the club,84,4681
my girl,my girl,100,2045
help me rhonda,noche de ronda,71,1348
king of the road,on the road,74,1831
the birds and the bees,the hand that feeds,68,12914
hold me thrill me kiss me,tell me that you miss me,61,16455
shotgun,shotgun,100,1161
i got you babe,i want you back,69,1175
this diamond ring,this mountain,67,4779
the in crowd,the high road,72,16698
mrs brown youve got a lovely daughter,where do you go to my lovely,58,2112
stop in the name of love,stop in the name of love,100,6867
unchained melody,unchained melody,100,2063
silhouettes,silhouettes,100,5847
ill never find another you,never forget you,62,1199
cara mia,caravan,67,492
mr tambourine man,mr tambourine man,100,324
cast your fate to the wind,set fire to the rain,65,1372
yes im ready,es mi reina,70,3920
whats new pussycat,whats the use,65,11574
eve of destruction,self destruction,82,4097
hang on sloopy,hang loose,67,3442
ticket to ride,side to side,69,4692
red roses for a blue lady,regresa a mi lado,57,12148
papas got a brand new bag,papas got a brand new bag,100,3816
game of love,game to lose,83,3237
the name game,blame game,70,7381
i know a place,i know a place,100,13147
back in my arms again,back again,65,1169
baby im yours,baby im yours,100,14692
the jolly green giant,the giant,60,13303
hush hush sweet charlotte,swing low sweet chariot,62,13363
like a rolling stone,like a rolling stone,100,270
im telling you now,more than you know,67,11375
ferry cross the mersey,cross the line,61,15000
just once in my life,for once in my life,82,2086
the seventh son,the sweet escape,65,8620
im henery the eighth i am,when the night is over,64,16212
a walk in the black forest,a day in the life  remastered,62,2104
for your love,for your love,100,327
california girls,california gurls,94,17865
go now,for now,77,1487
goldfinger,gold digger,76,1884
down in the boondocks,blowin in the wind,67,329
baby the rain must fall,dry the rain remaster,64,2972
catch us if you can,because of you,61,189
eight days a week,brighter days,60,7180
just a little,just a little crush,81,8928
you turn me on,turn me on,83,6971
ill be doggone,ill be there,62,7847
save your heart for me,you were meant for me,70,932
tired of waiting for you,waiting for you,77,3099
count me in,cant move on,70,1200
all day and all of the night,all day and all of the night,100,2679
what the world needs now is love,what the world needs now is love,100,2121
its not unusual,its not unusual,100,8221
shes about a mover,shes a lover,73,2747
shake,shake,100,8256
wonderful world,what a wonderful world,81,2083
nowhere to run,here too far,69,4137
heart full of soul,heart full of soul,100,295
love potion no 9,love potion no 9,100,2000
laurie strange things happen,the way things change,57,3599
baby dont go,baby don’t stop,81,6700
it aint me babe,it aint my fault,71,7731
tell her no,be here now,73,13191
i go to pieces,two princes,64,991
red roses for a blue lady,regresa a mi lado,57,12148
dont just stand there,dont just stand there,100,7105
the tracks of my tears,the ballad of mr steak,64,9489
too many rivers,too many colors,73,12282
i like it like that,i like it like that,100,3924
little things,little lies,75,11015
true love ways,true love,78,6930
its the same old song,wait the whisper song,67,7755
youve got your troubles,who do you trust,62,1617
hold what youve got,what you do,67,6165
we gotta get out of this place,watch out for this bumaye,58,12204
laugh laugh,uh uh,62,7480
the last time,one last time,85,6995
do you believe in magic,do you believe in magic,100,296
all i really want to do,do you really want it,68,1624
take me back,take me away,75,7209
i want candy,i want candy,100,833
ooo baby baby,baby boy,67,170
laugh at me,laugh it off,70,7835
treat her right,yeah right,72,3136
the race is on,the race is on,100,5142
im a fool,in a mood,67,3573
the boy from new york city,the boys are back in town,55,451
keep searchin well follow the sun,i will follow,52,2894
how sweet it is to be loved by you,how sweet it is to be loved by you,100,6878
ballad of the green berets,ballad of a teenage queen,67,5075
cherish,crash,67,2864
youre my soul and inspiration,you are my sunshine,58,4983
reach out ill be there,reach out ill be there,100,8253
96 tears,96 tears,100,341
last train to clarksville,last time love,56,17931
monday monday,mony mony,82,6394
you cant hurry love,you cant hurry love,100,2066
poor side of town,your side of the bed,65,11713
california dreamin,california dreamin,100,7774
summer in the city,summer in the city  remastered,75,290
born free,on fire,75,13110
these boots are made for walkin,these boots are made for walkin,100,2062
what becomes of the brokenhearted,what becomes of the brokenhearted,100,2074
strangers in the night,stay the night,72,10924
we can work it out,the beginning work it out,70,16083
good lovin,good lover,80,3227
winchester cathedral,cathedral,62,10814
hanky panky,bak pak,67,11096
when a man loves a woman,shes always a woman,65,16997
paint it black,paint it black  mono,82,297
my love,my lover,93,12365
lightnin strikes,lightning bolt,67,2654
wild thing,wild thing,100,334
kicks,kicks,100,18050
sunshine superman,sunshine superman,100,7794
sunny,sunny,100,2087
paperback writer,the writer,62,4483
see you in september,do you remember,63,3287
you keep me hangin on,dont keep me waiting,63,12346
lil red riding hood,this head i hold,57,12240
devil with a blue dress ongood golly miss molly,good golly miss molly,62,1966
good vibrations,good vibrations,100,8112
a groovy kind of love,a fool in love,69,3852
you dont have to say you love me,please dont say you love me,71,10669
cool jerk,cool jerk,100,3819
born a woman,your woman,73,3002
red rubber ball,the rubberband man,61,6880
baby,baby,100,3276
walk away renee,walk away,75,4399
daydream,daydreaming,84,4016
time wont let me,same ole me,67,5426
hooray for hazel,ready for the floor,63,2522
sweet pea,sweet escape,76,13825
bus stop,bust shots,67,9355
im your puppet,im yours,64,1147
im so lonesome i could cry,to love somebody,57,2116
aint too proud to beg,aint too proud to beg,100,3814
dirty water,dirty water,100,2711
elusive butterfly,butterfly,69,2407
i am a rock,i am machine,61,12859
crying time,closing time,78,992
secret agent man,elephant man,64,11415
the sound of silence,the sound of silence,100,2048
lady godiva,la gozadera,64,10254
homeward bound,shop around,64,310
did you ever have to make up your mind,cant seem to make you mine,59,2710
barefootin,breathin,67,1146
uptight everythings alright,uptight everythings alright,100,3857
