Song_Name,Matched_Name,Artist,Ratio_Value,Song_List_Index,index,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,Matched_Artist
wooly bully,only lonely,sam the sham and the pharaohs,64,3209,3209,Only Lonely,0.898,0.412,0.276,0.000372,7,0.0955,-11.711,1,0.0296,90.781,4,0.214,the ballroom thieves
i cant help myself sugar pie honey bunch,i cant help myself sugar pie honey bunch,four tops,100,3863,3863,"I Can't Help Myself (Sugar Pie, Honey Bunch)",0.245,0.667,0.599,0.0,0,0.107,-8.894,1,0.0291,127.935,4,0.971,four tops
i cant get no satisfaction,i cant get no satisfaction,the rolling stones,100,251,251,(I Can't Get No) Satisfaction,0.00038,0.735,0.82,0.0572,2,0.0983,-8.554,1,0.0494,135.586,4,0.8590000000000001,the rolling stones
you were on my mind,youre on my mind,we five,91,11156,11156,You're on My Mind,0.8140000000000001,0.6509999999999999,0.128,0.908,2,0.0596,-14.998,1,0.0511,160.001,4,0.238,nokiaa
youve lost that lovin feelin,youve got the love,the righteous brothers,70,1959,1959,You've Got The Love,0.004070000000000001,0.5710000000000001,0.708,0.0,6,0.125,-4.74,1,0.0329,109.899,4,0.398,florence  the machine
downtown,london town,petula clark,74,13871,13871,London Town,0.006690000000000001,0.892,0.483,3.37e-05,1,0.113,-5.801,1,0.115,106.029,4,0.281,mr eazi
help,help,the beatles,100,14944,14944,Help,0.00085,0.383,0.9,1.94e-06,7,0.271,-5.42,1,0.134,183.96,4,0.28600000000000003,papa roach
cant you hear my heart beat,you are my heart,hermans hermits,70,6881,6881,You Are My Heart,0.481,0.664,0.6809999999999999,0.0232,7,0.225,-7.457999999999998,1,0.0366,97.501,4,0.604,rex williams
crying in the chapel,crying in the club,elvis presley,84,4681,4681,Crying in the Club,0.334,0.334,0.617,0.0,6,0.163,-5.834,0,0.383,85.227,4,0.603,camila cabello
my girl,my girl,the temptations,100,2045,2045,My Girl,0.545,0.6,0.546,0.0,0,0.5589999999999999,-5.714,1,0.0691,104.451,4,0.598,the temptations
help me rhonda,noche de ronda,the beach boys,71,1348,1348,Noche de Ronda,0.906,0.42,0.19,5.02e-06,9,0.17800000000000002,-15.056,1,0.045,131.547,3,0.293,eydie gormé
king of the road,on the road,roger miller,74,1831,1831,On the Road,0.02,0.465,0.7490000000000001,0.000379,10,0.105,-6.653,0,0.358,72.579,4,0.39,iiiconic
the birds and the bees,the hand that feeds,jewel akens,68,12914,12914,The Hand That Feeds,0.0187,0.595,0.985,0.000297,9,0.0666,-4.337,0,0.0885,128.006,4,0.462,nine inch nails
hold me thrill me kiss me,then he kissed me,mel carter,62,6903,6903,Then He Kissed Me,0.6809999999999999,0.44,0.682,3.33e-05,4,0.207,-7.416,1,0.0373,135.917,4,0.626,the crystals
shotgun,shotgun,junior walker  the all stars,100,1161,1161,Shotgun,0.28600000000000003,0.672,0.735,0.0,5,0.242,-4.7330000000000005,1,0.0457,115.741,4,0.754,george ezra
i got you babe,i want you back,sonny  cher,69,1175,1175,I Want You Back,0.29,0.639,0.5479999999999999,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887,the jackson 5
this diamond ring,this mountain,gary lewis  the playboys,67,4779,4779,This Mountain,0.215,0.675,0.93,0.0,11,0.0638,-3.131,0,0.069,129.965,4,0.595,faouzia
the in crowd,the high road,ramsey lewis trio,72,16698,16698,The High Road,0.0506,0.547,0.8420000000000001,0.8390000000000001,7,0.0697,-7.049,1,0.0276,153.391,4,0.949,the feelies
mrs brown youve got a lovely daughter,where do you go to my lovely,hermans hermits,58,2112,2112,Where Do You Go To (My Lovely),0.805,0.408,0.436,1.72e-06,0,0.305,-7.7120000000000015,1,0.0345,175.024,3,0.474,peter sarstedt
stop in the name of love,stop in the name of love,the supremes,100,6867,6867,Stop! In The Name Of Love,0.799,0.603,0.633,0.0,0,0.115,-5.832000000000002,1,0.0287,115.884,4,0.504,the supremes
unchained melody,unchained melody,the righteous brothers,100,2063,2063,Unchained Melody,0.517,0.3670000000000001,0.215,0.0,0,0.618,-16.652,1,0.0288,98.742,3,0.266,the righteous brothers
silhouettes,silhouettes,hermans hermits,100,5847,5847,Silhouettes,0.853,0.428,0.403,0.0,7,0.324,-12.24,1,0.0387,78.053,4,0.6920000000000001,the rays
ill never find another you,ill be there for you,the seekers,65,17270,17270,I'll Be There For You,0.0717,0.32,0.917,0.0,9,0.16899999999999998,-5.903,1,0.0771,190.757,4,0.715,the rembrandts
cara mia,caravan,jay and the americans,67,492,492,Caravan,0.294,0.6409999999999999,0.397,0.000717,7,0.0496,-12.285,1,0.0454,81.962,4,0.57,van morrison
mr tambourine man,mr tambourine man,the byrds,100,324,324,Mr. Tambourine Man,0.513,0.456,0.47,3.76e-05,2,0.444,-9.564,1,0.0294,120.336,4,0.639,the byrds
cast your fate to the wind,set fire to the rain,sounds orchestral,65,1372,1372,Set Fire To The Rain,0.703,0.5660000000000001,0.227,0.0,1,0.11,-11.588,1,0.0502,117.979,4,0.507,noah guthrie
yes im ready,es mi reina,barbara mason,70,3920,3920,Es mi reina,0.602,0.6459999999999999,0.519,0.0,0,0.238,-9.592,1,0.0724,135.915,4,0.7709999999999999,johnny albino
whats new pussycat,whats the use,tom jones,65,11574,11574,What's the Use?,0.736,0.759,0.4920000000000001,0.00989,1,0.107,-10.338,0,0.12,104.974,4,0.561,mac miller
eve of destruction,self destruction,barry mcguire,82,4097,4097,Self Destruction,0.0945,0.967,0.578,0.0,8,0.0786,-6.474,1,0.0993,120.041,4,0.774,boogie
hang on sloopy,hang loose,the mccoys,67,3442,3442,Hang Loose,0.0729,0.926,0.609,4.53e-06,7,0.103,-9.21,1,0.0628,114.973,4,0.217,xuede
ticket to ride,side to side,the beatles,69,4692,4692,Side To Side,0.0513,0.65,0.736,0.0,6,0.235,-5.84,0,0.229,159.174,4,0.612,ariana grande
red roses for a blue lady,regresa a mi lado,bert kaempfert,57,12148,12148,Regresa a Mi Lado,0.416,0.403,0.843,5.9e-05,7,0.282,-2.9760000000000004,1,0.0435,202.004,4,0.778,grupo alamo
papas got a brand new bag,papas got a brand new bag,james brown,100,3816,3816,Papa's Got A Brand New Bag,0.493,0.746,0.7020000000000001,0.0398,4,0.0964,-8.099,1,0.0766,129.434,4,0.889,james brown
game of love,game to lose,wayne fontana  the mindbenders,83,3237,3237,Game To Lose,0.963,0.568,0.0626,0.000139,1,0.0575,-13.728,0,0.0435,131.60399999999998,4,0.452,im with her
the name game,the a team,shirley ellis,70,1554,1554,The A Team,0.669,0.642,0.289,0.0,9,0.18,-9.918,1,0.0367,84.99600000000002,4,0.407,ed sheeran
i know a place,i know a place,petula clark,100,13147,13147,I Know A Place,0.13699999999999998,0.685,0.9,0.0,5,0.2,-4.626,0,0.151,111.991,4,0.779,muna
back in my arms again,back again,the supremes,65,1169,1169,Back Again,0.00205,0.634,0.865,1.25e-06,9,0.307,-4.363,0,0.0367,112.021,4,0.879,you me at six
baby im yours,baby im yours,barbara lewis,100,14692,14692,Baby I'm Yours,0.215,0.462,0.595,0.0,2,0.184,-9.363,1,0.0347,113.719,4,0.64,arctic monkeys
the jolly green giant,the only exception,the kingsmen,62,18559,18559,The Only Exception,0.14400000000000002,0.452,0.563,0.0,4,0.14300000000000002,-6.607,1,0.0272,137.715,3,0.209,paramore
hush hush sweet charlotte,swing low sweet chariot,patti page,62,13363,13363,Swing Low Sweet Chariot,0.995,0.376,0.0155,0.943,7,0.0946,-24.706,1,0.0473,70.41199999999998,4,0.135,ofelia marsh
like a rolling stone,like a rolling stone,bob dylan,100,270,270,Like a Rolling Stone,0.7290000000000001,0.483,0.721,0.0,0,0.189,-6.836,1,0.032,95.261,4,0.562,bob dylan
im telling you now,more than you know,freddie and the dreamers,67,11375,11375,More Than You Know,0.0323,0.645,0.741,0.0,5,0.29,-4.989,0,0.0339,123.07,4,0.534,axwell  ingrosso
ferry cross the mersey,eyes of the muse,gerry and the pacemakers,63,9450,9450,Eyes of the Muse,0.000499,0.297,0.96,0.00645,2,0.11,-3.234,1,0.156,115.206,4,0.193,king tuff
