song_name,artist_name,album_names,playlist,fuzzy_name,fuzzy_artist
Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,00s Rock Anthems,boulevard of broken dreams,green day
In The End,Linkin Park,Hybrid Theory,00s Rock Anthems,in the end,linkin park
Seven Nation Army,The White Stripes,Elephant,00s Rock Anthems,seven nation army,the white stripes
By The Way,Red Hot Chili Peppers,By The Way (Deluxe Version),00s Rock Anthems,by the way,red hot chili peppers
How You Remind Me,Nickelback,Silver Side Up,00s Rock Anthems,how you remind me,nickelback
Bring Me To Life,Evanescence,Fallen,00s Rock Anthems,bring me to life,evanescence
Last Resort,Papa Roach,Infest,00s Rock Anthems,last resort,papa roach
Are You Gonna Be My Girl,Jet,Get Born,00s Rock Anthems,are you gonna be my girl,jet
Mr. Brightside,The Killers,Hot Fuss,00s Rock Anthems,mr brightside,the killers
Sex on Fire,Kings of Leon,Only By The Night,00s Rock Anthems,sex on fire,kings of leon
The Middle,Jimmy Eat World,Bleed American (Deluxe Edition),00s Rock Anthems,the middle,jimmy eat world
Numb,Linkin Park,Meteora,00s Rock Anthems,numb,linkin park
Smooth Criminal,Alien Ant Farm,Anthology,00s Rock Anthems,smooth criminal,alien ant farm
Can't Stop,Red Hot Chili Peppers,By The Way (Deluxe Version),00s Rock Anthems,cant stop,red hot chili peppers
Chop Suey!,System Of A Down,Toxicity,00s Rock Anthems,chop suey,system of a down
Take Me Out,Franz Ferdinand,Franz Ferdinand,00s Rock Anthems,take me out,franz ferdinand
I Miss You,blink-182,blink-182,00s Rock Anthems,i miss you,blink182
Best of You,Foo Fighters,Best Of You,00s Rock Anthems,best of you,foo fighters
I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,00s Rock Anthems,i write sins not tragedies,panic at the disco
Kryptonite,3 Doors Down,The Better Life,00s Rock Anthems,kryptonite,3 doors down
The Kill (Bury Me),Thirty Seconds To Mars,A Beautiful Lie,00s Rock Anthems,the kill bury me,thirty seconds to mars
Use Somebody,Kings of Leon,Only By The Night,00s Rock Anthems,use somebody,kings of leon
No One Knows,Queens of the Stone Age,No One Knows (International Version),00s Rock Anthems,no one knows,queens of the stone age
Jerk It Out,Caesars,Love For The Streets,00s Rock Anthems,jerk it out,caesars
Uprising,Muse,The Resistance,00s Rock Anthems,uprising,muse
Hey There Delilah,Plain White T's,All That We Needed,00s Rock Anthems,hey there delilah,plain white ts
Blurry,Puddle Of Mudd,Come Clean (Repackaged International Version),00s Rock Anthems,blurry,puddle of mudd
American Idiot,Green Day,American Idiot,00s Rock Anthems,american idiot,green day
Welcome to the Black Parade,My Chemical Romance,The Black Parade,00s Rock Anthems,welcome to the black parade,my chemical romance
Gives You Hell,The All-American Rejects,When The World Comes Down,00s Rock Anthems,gives you hell,the allamerican rejects
All My Life,Foo Fighters,ONE BY ONE,00s Rock Anthems,all my life,foo fighters
Like a Stone,Audioslave,Audioslave,00s Rock Anthems,like a stone,audioslave
It's Been Awhile,Staind,Break The Cycle,00s Rock Anthems,its been awhile,staind
I Hate Everything About You,Three Days Grace,Three Days Grace (Deluxe Version),00s Rock Anthems,i hate everything about you,three days grace
Rollin' (Air Raid Vehicle),Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,00s Rock Anthems,rollin air raid vehicle,limp bizkit
Fat Lip,Sum 41,"All Killer, No Filler",00s Rock Anthems,fat lip,sum 41
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",00s Rock Anthems,the pretender,foo fighters
Savior,Rise Against,Appeal To Reason,00s Rock Anthems,savior,rise against
Bodies,Drowning Pool,Sinner,00s Rock Anthems,bodies,drowning pool
"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,00s Rock Anthems,sugar were goin down,fall out boy
Last Nite,The Strokes,Is This It,00s Rock Anthems,last nite,the strokes
Through Glass,Stone Sour,Come What[ever] May,00s Rock Anthems,through glass,stone sour
The Diary of Jane - Single Version,Breaking Benjamin,Phobia (Explicit Version),00s Rock Anthems,the diary of jane  single version,breaking benjamin
Down With the Sickness,Disturbed,The Sickness,00s Rock Anthems,down with the sickness,disturbed
Wish You Were Here,Incubus,Morning View,00s Rock Anthems,wish you were here,incubus
Youth Of The Nation,P.O.D.,Satellite (U.S. Version WEA Distribution),00s Rock Anthems,youth of the nation,pod
Vertigo,U2,How To Dismantle An Atomic Bomb,00s Rock Anthems,vertigo,u2
Miss Murder,AFI,DECEMBERUNDERGROUND,00s Rock Anthems,miss murder,afi
I Bet You Look Good On The Dancefloor,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",00s Rock Anthems,i bet you look good on the dancefloor,arctic monkeys
"Steady, As She Goes",The Raconteurs,Broken Boy Soldiers,00s Rock Anthems,steady as she goes,the raconteurs
Falling Away from Me,Korn,Issues,00s Rock Anthems,falling away from me,korn
Crawling In The Dark,Hoobastank,Hoobastank,00s Rock Anthems,crawling in the dark,hoobastank
I Stand Alone,Godsmack,Faceless,00s Rock Anthems,i stand alone,godsmack
Woman,Wolfmother,Wolfmother,00s Rock Anthems,woman,wolfmother
Show Me How to Live,Audioslave,Audioslave,00s Rock Anthems,show me how to live,audioslave
The Red,Chevelle,Wonder What's Next,00s Rock Anthems,the red,chevelle
Remedy,Seether,Karma and Effect,00s Rock Anthems,remedy,seether
Plug In Baby,Muse,Origin Of Symmetry,00s Rock Anthems,plug in baby,muse
Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,White Pony (U.S. Version),00s Rock Anthems,change in the house of flies  in the house of flies lp version,deftones
Judith,A Perfect Circle,Mer De Noms,00s Rock Anthems,judith,a perfect circle
MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),100% LatinX,mia feat drake,bad bunny
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",100% LatinX,taki taki with selena gomez ozuna  cardi b,dj snake
White Boi,Dillon Francis,WUT WUT,100% LatinX,white boi,dillon francis
Just Wanna Love You (feat. J. Balvin),Cris Cab,Just Wanna Love You (feat. J. Balvin),100% LatinX,just wanna love you feat j balvin,cris cab
Beautiful (feat. Camila Cabello),Bazzi,Beautiful (feat. Camila Cabello),100% LatinX,beautiful feat camila cabello,bazzi
Celoso,Lele Pons,Celoso,100% LatinX,celoso,lele pons
Good Vibes,Fuego,Good Vibes,100% LatinX,good vibes,fuego
Real Friends,Camila Cabello,Real Friends,100% LatinX,real friends,camila cabello
Pa La Calle,COASTCITY,Pa La Calle,100% LatinX,pa la calle,coastcity
Pa Mí,Dalex,Pa Mí,100% LatinX,pa mí,dalex
Wake Up in the Sky,Gucci Mane,Wake Up in the Sky,100% LatinX,wake up in the sky,gucci mane
Está Rico,Marc Anthony,Está Rico,100% LatinX,está rico,marc anthony
Banana Clip - Spanish Version,Miguel,Banana Clip (Spanish Version),100% LatinX,banana clip  spanish version,miguel
YAKWTFGO (feat. Kali Uchis),BIA,NICE GIRLS FINISH LAST: CUIDADO,100% LatinX,yakwtfgo feat kali uchis,bia
Come With Me,Kap G,no kap,100% LatinX,come with me,kap g
